Class,Wrong Class,Wrong Attributes,Wrong Geometry,Missed Annotations,Total Annotations,InCorrect Annotations,Total Mistakes,Jobs,Error Rate,Missed Annotations %
form,1,1,0,0,8,1,2,8,0.125,0
col_header,7,27,249,18,2577,259,301,1680,0.10050446255335661,0.006936416184971098
row_header,0,8,128,57,2356,129,193,1471,0.05475382003395586,0.023622047244094488
fillable_field,2,3,20,1,376,23,26,148,0.061170212765957445,0.002652519893899204
table_merged_cell,5,5,137,32,2900,142,179,780,0.04896551724137931,0.010914051841746248
document Index,3,3,2,0,101,5,8,100,0.04950495049504951,0
table,1,8,113,18,3045,114,140,1862,0.0374384236453202,0.005876591576885406
fillable_cells,5,5,6,6,350,9,22,168,0.025714285714285714,0.016853932584269662
section_header,167,792,83,7,21982,830,1049,6288,0.03775816577199527,0.00031834098867615626
formula,29,57,41,3,2699,98,130,632,0.03630974434975917,0.0011102886750555144
key,19,27,71,16,3380,97,133,934,0.028698224852071005,0.004711425206124852
footnote,10,17,14,2,995,31,43,424,0.031155778894472363,0.0020060180541624875
picture,5,343,80,87,16835,405,515,4405,0.024057024057024055,0.005141236260489304
reading_order,2,25,221,32,9132,229,280,8504,0.025076653526062198,0.003491924923614142
group,5,5,99,28,4831,104,137,2489,0.021527634030221485,0.005762502572545791
value,23,35,64,2,3573,95,124,935,0.0265883011474951,0.0005594405594405594
to_caption,3,3,26,6,1464,29,38,928,0.01980874316939891,0.004081632653061225
table_row_section,2,2,21,23,1947,23,48,570,0.011813045711350795,0.011675126903553299
merge,0,0,29,8,1683,29,37,1114,0.0172311348781937,0.004730928444707274
list_item,85,387,73,2,20963,443,547,2555,0.02113247149740018,0.00009539709038874314
text,251,962,629,102,89418,1531,1944,8472,0.017121832293274283,0.0011394101876675603
to_value,7,7,62,56,7405,68,132,1601,0.009182984469952735,0.007505696287360943
to_footnote,1,1,12,2,940,13,16,400,0.013829787234042552,0.0021231422505307855
caption,10,16,6,0,1433,21,32,906,0.01465457083042568,0
code,2,3,9,1,1556,12,15,403,0.007712082262210797,0.0006422607578676942
table_column,0,3,76,11,12238,77,90,1858,0.0062918777578035625,0.0008980324924483631
table_row,3,14,164,36,31062,168,217,1864,0.0054085377631833105,0.0011576307158016593
handwritten_text,0,0,0,1,261,0,1,221,0,0.003816793893129771
checkbox_unselected,0,0,1,0,444,1,1,47,0.0022522522522522522,0
grading_scale,1,1,0,0,990,1,2,221,0.00101010101010101,0
View Points,0,0,9,0,191704,9,9,8508,0.00004694737720652673,0
confidence_self_grading,0,0,0,0,8584,0,0,8584,0,0
checkbox_selected,0,0,0,0,151,0,0,29,0,0